File_Name;Object_Name;Object_Id;IFC_Element;Outer_Radius;Inner_Radius;Pipe_Usage;Pipe_type;Material;Length;X_start;Y_start;Z_start;X_end;Y_end;Z_end;Project;Building;Floor;Room
Pipe_system;pipe;P33;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;33.20;122.40;377.50;0.00;155.60;377.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P34;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;10.20;267.00;377.40;0.00;277.20;377.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P35;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;23.90;241.90;377.90;0.00;265.80;377.90;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P36;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;23.10;253.50;372.50;0.00;276.60;372.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P37;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;2.90;260.80;370.50;0.00;263.70;370.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P38;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;2.80;264.40;369.70;0.00;267.20;369.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P39;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;8.10;259.20;369.10;0.00;267.30;369.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P40;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;7.90;266.70;368.30;0.00;274.60;368.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P41;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;4.50;261.00;365.50;0.00;265.50;365.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P42;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;301.30;245.00;353.10;0.00;546.30;353.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P43;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;230.40;15.90;323.00;0.00;246.30;323.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P44;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;4.70;281.00;315.30;0.00;285.70;315.30;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P45;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;3.30;277.50;313.50;0.00;280.80;313.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P46;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;10.50;277.70;311.20;0.00;288.20;311.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P47;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;4.80;205.30;293.10;0.00;210.10;293.10;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P48;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;23.60;218.80;245.40;0.00;242.40;245.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P49;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;62.80;155.80;245.40;0.00;218.60;245.40;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P50;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;14.50;220.80;237.20;0.00;235.30;237.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P51;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;8.90;218.60;231.00;0.00;227.50;231.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P52;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;51.10;167.20;231.00;0.00;218.30;231.00;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P53;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;4.50;224.70;227.50;0.00;229.20;227.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P54;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;3.50;221.00;227.50;0.00;224.50;227.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P55;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;23.20;197.50;227.50;0.00;220.70;227.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P56;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;52.00;241.70;219.20;0.00;293.70;219.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P57;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;7.60;233.90;219.20;0.00;241.50;219.20;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P58;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;21.80;239.90;215.60;0.00;261.70;215.60;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P59;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;5.90;232.20;215.70;0.00;238.10;215.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P60;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;2.40;558.00;75.50;0.00;560.40;75.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P61;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;34.00;549.70;25.70;0.00;583.70;25.70;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P62;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;33.90;549.80;18.60;0.00;583.70;18.60;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P63;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;7.90;211.60;549.60;0.00;211.60;557.50;0.00;Excel-IFC-Translater;OTH;3;G201
Pipe_system;pipe;P64;IfcPipeSegment;0.15;0.14;hot;Heating;stainless steel;49.40;235.10;508.10;0.00;235.10;557.50;0.00;Excel-IFC-Translater;OTH;3;G201
