File_Name;Object_Name;Object_Id;IFC_Element;Diameter;Elevation;Pipe_Usage;Pipe_type;Xmin;Ymin;Xmax;Ymax;Project;Building;Floor;Room
MA_TGA;pipe;P47;IfcFlowElement;300;0;hot;Heating;2053;2931;2101;2931;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P48;IfcFlowElement;300;0;hot;Heating;2188;2454;2424;2454;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P49;IfcFlowElement;300;0;hot;Heating;1558;2454;2186;2454;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P50;IfcFlowElement;300;0;hot;Heating;2208;2372;2353;2372;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P51;IfcFlowElement;300;0;hot;Heating;2186;2310;2275;2310;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P52;IfcFlowElement;300;0;hot;Heating;1672;2310;2183;2310;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P53;IfcFlowElement;300;0;hot;Heating;2247;2275;2292;2275;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P54;IfcFlowElement;300;0;hot;Heating;2210;2275;2245;2275;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P55;IfcFlowElement;300;0;hot;Heating;1975;2275;2207;2275;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P56;IfcFlowElement;300;0;hot;Heating;2417;2192;2937;2192;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P57;IfcFlowElement;300;0;hot;Heating;2339;2192;2415;2192;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P58;IfcFlowElement;300;0;hot;Heating;2399;2156;2617;2156;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P59;IfcFlowElement;300;0;hot;Heating;2322;2157;2381;2157;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P60;IfcFlowElement;300;0;hot;Heating;5580;755;5604;755;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P61;IfcFlowElement;300;0;hot;Heating;5497;257;5837;257;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P62;IfcFlowElement;300;0;hot;Heating;5498;186;5837;186;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P63;IfcFlowElement;300;0;hot;Heating;2116;5496;2116;5575;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P64;IfcFlowElement;300;0;hot;Heating;2351;5081;2351;5575;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P65;IfcFlowElement;300;0;hot;Heating;2387;5065;2387;5481;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P66;IfcFlowElement;300;0;hot;Heating;2239;5030;2239;5575;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P67;IfcFlowElement;300;0;hot;Heating;2351;5000;2351;5078;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P68;IfcFlowElement;300;0;hot;Heating;2387;4986;2387;5043;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P69;IfcFlowElement;300;0;hot;Heating;2420;4973;2420;5162;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P70;IfcFlowElement;300;0;hot;Heating;1466;4912;1466;5370;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P71;IfcFlowElement;300;0;hot;Heating;2300;4909;2300;5035;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P72;IfcFlowElement;300;0;hot;Heating;2334;4904;2334;4937;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P73;IfcFlowElement;300;0;hot;Heating;2081;4886;2081;5575;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P74;IfcFlowElement;300;0;hot;Heating;1535;4841;1535;5575;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P75;IfcFlowElement;300;0;hot;Heating;2403;4838;2403;4964;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P76;IfcFlowElement;300;0;hot;Heating;2301;4830;2301;4883;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P77;IfcFlowElement;300;0;hot;Heating;1501;4830;1501;5575;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P78;IfcFlowElement;300;0;hot;Heating;1466;4818;1466;4900;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P79;IfcFlowElement;300;0;hot;Heating;1431;4806;1431;5051;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P80;IfcFlowElement;300;0;hot;Heating;1584;4754;1584;5575;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P81;IfcFlowElement;300;0;hot;Heating;1449;4727;1449;4799;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P82;IfcFlowElement;300;0;hot;Heating;2368;4519;2368;4951;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P83;IfcFlowElement;300;0;hot;Heating;1483;4408;1483;4787;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P84;IfcFlowElement;300;0;hot;Heating;2334;4204;2334;4892;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P85;IfcFlowElement;300;0;hot;Heating;1518;4089;1518;4775;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P86;IfcFlowElement;300;0;hot;Heating;2301;3924;2301;4817;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P87;IfcFlowElement;300;0;hot;Heating;2756;3816;2756;3840;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P88;IfcFlowElement;300;0;hot;Heating;2761;3801;2761;3834;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P89;IfcFlowElement;300;0;hot;Heating;1553;3770;1553;4764;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P90;IfcFlowElement;300;0;hot;Heating;2769;3769;2769;3807;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P91;IfcFlowElement;300;0;hot;Heating;2760;3714;2760;3745;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P92;IfcFlowElement;300;0;hot;Heating;2604;3693;2604;3724;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P93;IfcFlowElement;300;0;hot;Heating;2667;3668;2667;3710;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P94;IfcFlowElement;300;0;hot;Heating;2597;3668;2597;3710;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P95;IfcFlowElement;300;0;hot;Heating;2535;3500;2535;3724;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P96;IfcFlowElement;300;0;hot;Heating;2453;3218;2453;3531;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P97;IfcFlowElement;300;0;hot;Heating;2419;2450;2419;3774;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P98;IfcFlowElement;300;0;hot;Heating;2213;2359;2213;2457;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P99;IfcFlowElement;300;0;hot;Heating;2270;2305;2270;2372;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P100;IfcFlowElement;300;0;hot;Heating;2287;2271;2287;2346;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P101;IfcFlowElement;300;0;hot;Heating;2305;2236;2305;2372;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P102;IfcFlowElement;300;0;hot;Heating;2339;2187;2339;2343;Excel-IFC-Translater;OTH;3;G201
MA_TGA;pipe;P103;IfcFlowElement;300;0;hot;Heating;2322;2152;2322;2372;Excel-IFC-Translater;OTH;3;G201
