File_Name;Object;Object_Id;IFC_Element;Diameter;Material;Pipe_Color;Piping_type;H_V;Total_vertices;Xmin;Ymin;Xmax;Ymax;Project;Building;Floor;Room
TGA-Plan;pipe;LS41;IfcFlowElement;300;stainless steel;Red;Heating;H;8,5;2610;3655;2655;3655;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS42;IfcFlowElement;300;stainless steel;Red;Heating;H;7;2450;3531;5463;3531;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS43;IfcFlowElement;300;stainless steel;Red;Heating;H;23;159;3230;2463;3230;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS44;IfcFlowElement;300;stainless steel;Red;Heating;H;5,5;2810;3153;2857;3153;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS45;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;2775;3135;2808;3135;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS46;IfcFlowElement;300;stainless steel;Red;Heating;H;11;2777;3112;2882;3112;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS47;IfcFlowElement;300;stainless steel;Red;Heating;H;3;2053;2931;2101;2931;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS48;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2188;2454;2424;2454;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS49;IfcFlowElement;300;stainless steel;Red;Heating;H;3,5;1558;2454;2186;2454;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS50;IfcFlowElement;300;stainless steel;Red;Heating;H;5,5;2208;2372;2353;2372;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS51;IfcFlowElement;300;stainless steel;Red;Heating;H;5;2186;2310;2275;2310;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS52;IfcFlowElement;300;stainless steel;Red;Heating;H;2;1672;2310;2183;2310;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS53;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2247;2275;2292;2275;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS54;IfcFlowElement;300;stainless steel;Red;Heating;H;3;2210;2275;2245;2275;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS55;IfcFlowElement;300;stainless steel;Red;Heating;H;2;1975;2275;2207;2275;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS56;IfcFlowElement;300;stainless steel;Red;Heating;H;3,5;2417;2192;2937;2192;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS57;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;2339;2192;2415;2192;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS58;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2399;2156;2617;2156;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS59;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2322;2157;2381;2157;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS60;IfcFlowElement;300;stainless steel;Red;Heating;H;1;5580;755;5604;755;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS61;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;5497;257;5837;257;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS62;IfcFlowElement;300;stainless steel;Red;Heating;H;2;5498;186;5837;186;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS63;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2116;5496;2116;5575;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS64;IfcFlowElement;300;stainless steel;Red;Heating;V;6;2351;5081;2351;5575;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS65;IfcFlowElement;300;stainless steel;Red;Heating;V;7;2387;5065;2387;5481;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS66;IfcFlowElement;300;stainless steel;Red;Heating;V;5;2239;5030;2239;5575;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS67;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2351;5000;2351;5078;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS68;IfcFlowElement;300;stainless steel;Red;Heating;V;7;2387;4986;2387;5043;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS69;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2420;4973;2420;5162;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS70;IfcFlowElement;300;stainless steel;Red;Heating;V;7;1466;4912;1466;5370;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS71;IfcFlowElement;300;stainless steel;Red;Heating;V;23;2300;4909;2300;5035;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS72;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2334;4904;2334;4937;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS73;IfcFlowElement;300;stainless steel;Red;Heating;V;5;2081;4886;2081;5575;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS74;IfcFlowElement;300;stainless steel;Red;Heating;V;5;1535;4841;1535;5575;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS75;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2403;4838;2403;4964;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS76;IfcFlowElement;300;stainless steel;Red;Heating;V;4;2301;4830;2301;4883;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS77;IfcFlowElement;300;stainless steel;Red;Heating;V;4;1501;4830;1501;5575;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS78;IfcFlowElement;300;stainless steel;Red;Heating;V;6;1466;4818;1466;4900;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS79;IfcFlowElement;300;stainless steel;Red;Heating;V;4;1431;4806;1431;5051;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS80;IfcFlowElement;300;stainless steel;Red;Heating;V;10;1584;4754;1584;5575;Excel-IFC-Translater;OTH;3;G201
